BuildingTemplateName	PrepareToBuildStatusTextureName	BeingBuiltStatusTextureName	WorkingStatusTextureName	DestroyStatusTextureName	ShadowTextureName	ShadowYPositionInBeingBuiltStatus	ShadowYPositionInWorkingStatus	ShadowYPositionInDestroyStatus	BuildingTimeBySecond	MaxHP	CenterBottomGridYPosition	BottomGridColumnCount	BottomGridRowCount	ExtraEnemyAttackRadius	DestroySpecialEffectTemplateName	DefenceNpcName	DefenceNpcYPosition	AttackRange	AttackPower	BlueSelectedTipsTextureName	RedSelectedTipsTextureName
BaseCamp	BaseCamp2.png	BeingBuiltStatusBig.png	BaseCamp2.png	InDestroyStatusBig.png	BuildingShadowBig.png	150	110	110	20	5000	120	3	3	0	BuildingBomb	Null	0	0	0	BigBlueSelectedTips.png	BigRedSelectedTips.png
PurpleAnchorTower	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	941	48	2	2	0	BuildingBomb	BlueArcher	220	1000	39	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PinkAnchorTower	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	941	48	2	2	0	BuildingBomb	PinkArcher	220	1000	39	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
BlueMagicTower	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1031	16	2	2	0	BuildingBomb	BlueEnchanter	220	750	21	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleMagicTower	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1031	16	2	2	0	BuildingBomb	PurpleEnchanter	220	750	21	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleAnchorTower_02	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1129	58	2	2	0	BuildingBomb	BlueArcher	220	950	47	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PinkAnchorTower_02	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1129	58	2	2	0	BuildingBomb	PinkArcher	220	950	47	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
BlueMagicTower_02	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1237	19	2	2	0	BuildingBomb	BlueEnchanter	220	700	26	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleMagicTower_02	MagicTower1.png	BeingBuiltStatusMiddle.png	MagicTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	80	100	10	1237	19	2	2	0	BuildingBomb	PurpleEnchanter	220	700	26	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
PurpleAnchorTower_03	ArcherTower1.png	BeingBuiltStatusMiddle.png	ArcherTower1.png	InDestroyStatusMiddle.png	BuildingShadowMiddle.png	100	100	100	10	1354	69	2	2	0	BuildingBomb	BlueArcher	220	950	56	MiddleBlueSelectedTips.png	MiddleRedSelectedTips.png
