TemplateName	DeathEffectName	AttackEffectName	Select	Move
BlueArcher	archer_death_05.ogg	arrow_hit_07.ogg	archer_select.ogg	archer_move.ogg
GreenArcher	archer_death_05.ogg	arrow_hit_07.ogg	archer_select.ogg	archer_move.ogg
PinkArcher	archer_death_05.ogg	arrow_hit_07.ogg	archer_select.ogg	archer_move.ogg
BlueBarbarian	barbarian_death_01.ogg	barbarian_hit_stuff4.ogg	barbarian_select.ogg	barbarian_move.ogg
BrownBarbarian	barbarian_death_01.ogg	barbarian_hit_stuff4.ogg	barbarian_select.ogg	barbarian_move.ogg
BlueEnchanter	barbarian_death_01.ogg	mage_attack_02.ogg	mage_select.ogg	mage_move.ogg
PurpleEnchanter	barbarian_death_01.ogg	mage_attack_02.ogg	mage_select.ogg	mage_move.ogg
RedBalloon	balloon_die_01.ogg	balloon_hit_01.ogg	barbarian_select.ogg	barbarian_move.ogg
BlackBalloon	balloon_die_01.ogg	balloon_hit_01.ogg	barbarian_select.ogg	barbarian_move.ogg
BlueGarg	garg_die_01.ogg	garg_attack_01.ogg	garg_deploy_02.ogg	garg_deploy_02.ogg
BlackGarg	garg_die_01.ogg	garg_attack_01.ogg	garg_deploy_02.ogg	garg_deploy_02.ogg
